model,n_users,pct_explained,pct_residual
tiiuae/falcon-7b-instruct,299,10.569419526940514,80.9714488862667
gpt-3.5-turbo,266,10.759992515434092,80.35536070633427
luminous-supreme-control,367,7.215325502652044,86.61475263900724
HuggingFaceH4/zephyr-7b-beta,289,6.628771111328846,86.72540238217952
claude-2.1,292,13.711095506783945,74.95032625098314
meta-llama/Llama-2-13b-chat-hf,132,7.608927468167181,79.61880897199813
gpt-4-1106-preview,242,8.109735527379234,86.2732306322809
meta-llama/Llama-2-70b-chat-hf,236,8.522322174508561,87.15040630450511
gpt-4,252,9.827217388623437,84.36916352858852
mistralai/Mistral-7B-Instruct-v0.1,270,9.696932562667644,79.33734852093133
timdettmers/guanaco-33b-merged,333,5.886479729220179,85.6787948773509
command,317,3.3441234165684954,91.72646698330865
command-nightly,305,6.85695269530218,87.06855878418482
claude-instant-1,274,7.088645264519365,88.29682737820318
claude-2,285,9.820268275432838,79.80640762941752
meta-llama/Llama-2-7b-chat-hf,272,7.164316262337325,87.58620480395541
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,280,10.089385664971852,78.79285876387215
command-light,316,6.458382516399773,92.5877296225495
models/chat-bison-001,301,7.623609166518476,90.62000026756056
luminous-extended-control,376,4.568173962581424,96.13746932807761
google/flan-t5-xxl,517,3.512123293652073,95.31099718796389
